"country","date","year","month","day","wday","avg_hourly_demand","seasonal_avg_hourly_demand","holiday","weighted_temperature"
"DE",2017-01-01,2017,1,1,1,47230.4166666667,-10494.8124714612,1,-0.0220154016403521
"DE",2017-01-02,2017,1,2,2,60128.7083333333,2403.47919520548,0,0.811549244718494
"DE",2017-01-03,2017,1,3,3,64127.125,6401.89586187214,0,2.43368973573117
"DE",2017-01-04,2017,1,4,4,65331.53125,7606.30211187214,0,3.04167932527882
"DE",2017-01-05,2017,1,5,5,64421.7395833333,6696.51044520548,0,-1.97964145418445
"DE",2017-01-06,2017,1,6,6,62283.3541666667,4558.12502853881,1,-6.37039506892485
"DE",2017-01-07,2017,1,7,7,58426.1145833333,700.88544520548,0,-4.08867988123327
"DE",2017-01-08,2017,1,8,1,53516.3958333333,-4208.83330479452,0,0.349839758567536
"DE",2017-01-09,2017,1,9,2,66517.8645833333,8792.63544520547,0,1.36501762854814
"DE",2017-01-10,2017,1,10,3,68288.3020833333,10563.0729452055,0,1.04573305581597
"DE",2017-01-11,2017,1,11,4,68723.7083333333,10998.4791952055,0,2.95684569669425
"DE",2017-01-12,2017,1,12,5,67450.2604166667,9725.03127853882,0,4.0657695765232
"DE",2017-01-13,2017,1,13,6,67266.6666666667,9541.43752853882,0,1.90441006981288
"DE",2017-01-14,2017,1,14,7,57951.6458333333,226.41669520548,0,1.35658038954947
"DE",2017-01-15,2017,1,15,1,53877.15625,-3848.07288812786,0,-0.402318015406801
"DE",2017-01-16,2017,1,16,2,66893.1041666667,9167.87502853882,0,-2.53752651113226
"DE",2017-01-17,2017,1,17,3,68701.4166666667,10976.1875285388,0,-3.52994776557811
"DE",2017-01-18,2017,1,18,4,69120.5,11395.2708618721,0,-3.14961679880867
"DE",2017-01-19,2017,1,19,5,69249.21875,11523.9896118721,0,-2.61016538319664
"DE",2017-01-20,2017,1,20,6,67640.7291666667,9915.50002853882,0,-1.58035895567588
"DE",2017-01-21,2017,1,21,7,58197.3333333333,472.10419520548,0,-0.852764462377099
"DE",2017-01-22,2017,1,22,1,54449.71875,-3275.51038812786,0,-2.61565895977449
"DE",2017-01-23,2017,1,23,2,68381.2291666667,10656.0000285388,0,-3.34979971491937
"DE",2017-01-24,2017,1,24,3,69528.6041666667,11803.3750285388,0,-2.15125111212409
"DE",2017-01-25,2017,1,25,4,69466.5,11741.2708618721,0,-1.94608298305455
"DE",2017-01-26,2017,1,26,5,68982.2395833333,11257.0104452055,0,-0.982831752335065
"DE",2017-01-27,2017,1,27,6,67993.9895833333,10268.7604452055,0,-0.555831228539947
"DE",2017-01-28,2017,1,28,7,58365.8958333333,640.66669520548,0,0.193469558762586
"DE",2017-01-29,2017,1,29,1,54324.9375,-3400.29163812786,0,2.12480672692922
"DE",2017-01-30,2017,1,30,2,67053.5729166667,9328.34377853882,0,2.44629951682021
"DE",2017-01-31,2017,1,31,3,67375.3854166667,9650.15627853882,0,2.42378005983961
