"date","Berlin","Hamburg","Munich","Cologne","Frankfurt","Bremen","Frankfurt","Stuttgart","Stuttgart","Leipzig","Düsseldorf","Großzschocher","Dortmund","Essen","Bremen","Dresden","Hanover","Nuremberg","Hannover","Nuremberg","weighted_mean_temperature"
2017-01-01,NA,3.5,-3.3,-1.5,-2.8,2.5,-2.8,NA,NA,NA,-0.8,NA,0.5,-0.9,2.5,-3.7,3.5,-5.3,7.6,-5.3,-0.274979314535529
2017-01-02,NA,1.9,-2.4,0.8,0.7,1.8,0.7,NA,NA,NA,1.3,NA,0.8,0.6,1.8,-0.4,1.8,-1.3,6.3,-1.3,0.727221776603223
2017-01-03,NA,4.6,-0.9,2.6,1.5,4.1,1.5,NA,NA,NA,1.7,NA,2.1,1.2,4.1,0.8,4.2,-0.7,7.6,-0.7,2.27650060175897
2017-01-04,NA,3.6,0.4,4,2.9,3.8,2.9,NA,NA,NA,4.1,NA,3.8,3.5,3.8,1.1,3.4,0.7,6.8,0.7,2.94580198594324
2017-01-05,NA,-3.6,-3.3,0.3,-0.2,-2.4,-0.2,NA,NA,NA,-0.5,NA,-1.8,-0.9,-2.4,-4.6,-3.5,-3.4,1.9,-3.4,-2.04099830460651
2017-01-06,NA,-6.6,-9.3,-4.3,-5.4,-6.8,-5.4,NA,NA,NA,-4.8,NA,-5.1,-4.5,-6.8,-9.6,-7.3,-11.3,0.1,-11.3,-6.6285545115284
2017-01-07,NA,-1.5,-8.4,-2.8,-5.6,-1.5,-5.6,NA,NA,NA,-2.4,NA,-2.3,-3.1,-1.5,-7.2,-2.6,-9.2,NA,-9.2,-4.32339547206533
2017-01-08,NA,1.6,-2.3,2,-0.1,1.8,-0.1,NA,NA,NA,2.1,NA,1.2,1.5,1.8,-3.6,1.1,-2.5,NA,-2.5,0.246637411464281
2017-01-09,NA,1.4,-1.3,3.1,0.9,2,0.9,NA,NA,NA,3.3,NA,2.8,2.5,2,-1.5,0.6,-0.9,6.3,-0.9,1.27578913270449
2017-01-10,NA,2.4,-2.4,3,0.3,2.3,0.3,NA,NA,NA,3.5,NA,3.7,2.6,2.3,-3.6,0.9,-1.4,NA,-1.4,0.936839032165484
2017-01-11,NA,4.1,-0.4,5.1,2.4,4.5,2.4,NA,NA,NA,5.3,NA,5.4,4.6,4.5,-5.1,2.6,-0.9,7.6,-0.9,2.79451288374266
2017-01-12,NA,3.5,3.4,5,4.7,4.1,4.7,NA,NA,NA,4.8,NA,4.9,4,4.1,2.9,2.9,3,6.3,3,4.02633404347362
2017-01-13,NA,1.4,1.5,2.2,2.5,1.2,2.5,NA,NA,NA,2.2,NA,2.3,1.3,1.2,1.9,0.8,1.8,5.4,1.8,1.89423788058828
2017-01-14,NA,1.3,-0.6,2.3,2.3,1.6,2.3,NA,NA,NA,2,NA,2,1.3,1.6,-0.2,0.8,0.3,4.2,0.3,1.31932205231698
2017-01-15,NA,-0.6,-2.1,1.2,1.2,-1.7,1.2,NA,NA,NA,0,NA,0.5,-0.2,-1.7,-0.8,-0.5,-0.9,NA,-0.9,-0.438842521890605
2017-01-16,NA,-4.1,-3.5,0.6,-2,-5.8,-2,NA,NA,NA,-0.2,NA,-0.5,-0.7,-5.8,-3.1,-4.4,-3.8,3,-3.8,-2.56830071725786
2017-01-17,NA,-3.2,-5.8,-3.1,-1.5,-7.1,-1.5,NA,NA,NA,-2.9,NA,-3.3,-3.4,-7.1,-3.8,-2.3,-5.6,3.3,-5.6,-3.64174537311136
2017-01-18,NA,-2.3,-5.2,-3.3,-2.8,-4.2,-2.8,NA,NA,NA,-3.2,NA,-3.1,-3.2,-4.2,-5.6,-2.1,-4.5,3.8,-4.5,-3.23937918822161
2017-01-19,NA,-0.3,-6,-2.7,-2.7,-2.5,-2.7,NA,NA,NA,-2.3,NA,-3.2,-1.1,-2.5,-8.8,-0.7,-7.2,5.8,-7.2,-2.85617743188962
2017-01-20,NA,1.1,-7.3,-2.2,-0.4,-2.4,-0.4,NA,NA,NA,-1.8,NA,-2.7,0.3,-2.4,-3.5,0.8,-5.3,6.3,-5.3,-1.81135335626211
2017-01-21,NA,2.4,-8.4,-0.9,-0.9,1.3,-0.9,NA,NA,NA,-0.6,NA,-2.7,1,1.3,-3.1,1.6,-4.8,6.1,-4.8,-1.09299458624911
2017-01-22,NA,0.6,-10.2,-2.3,-2.9,-1.5,-2.9,NA,NA,NA,-2.2,NA,-4.2,-0.4,-1.5,-1.3,0.3,-7,3.4,-7,-2.81735445474953
2017-01-23,NA,-0.1,-9.8,-3,-4.5,-0.7,-4.5,NA,NA,NA,-3.3,NA,-3.8,-2.7,-0.7,-5.7,-0.8,-10.2,5.6,-10.2,-3.66398341731152
2017-01-24,NA,0.2,-8.2,0.1,-1.8,0,-1.8,NA,NA,NA,-0.1,NA,-0.1,-0.5,0,-5.2,0.4,-9.8,NA,-9.8,-2.4878803983613
2017-01-25,NA,-1.3,-6.6,-0.9,-1.1,-1.1,-1.1,NA,NA,NA,-1.3,NA,-1.8,-1.5,-1.1,-2.1,-0.4,-4.2,1.1,-4.2,-2.08232326970033
2017-01-26,NA,0.5,-3.9,-0.6,0.1,-0.9,0.1,NA,NA,NA,-2,NA,-4.3,-2,-0.9,-0.8,0.4,-2,1.6,-2,-1.1130138695736
2017-01-27,NA,-0.2,-4.6,1.8,-0.9,0,-0.9,NA,NA,NA,2,NA,-0.1,3.8,0,-1.8,-1,-2.7,NA,-2.7,-0.681768735139732
2017-01-28,NA,-1,-4.3,4.4,-0.5,0.6,-0.5,NA,NA,NA,5,NA,4.5,6,0.6,-4.4,-2.3,-5.7,6.5,-5.7,-0.0490757401704614
2017-01-29,NA,3.7,-1.6,5.2,1.2,3.8,1.2,NA,NA,NA,5,NA,4.9,4.7,3.8,-3.5,2,-3.6,NA,-3.6,1.8789514388313
2017-01-30,NA,1.6,0.9,5.6,3.4,2,3.4,NA,NA,NA,5.3,NA,5.2,4.6,2,-3.3,1,-0.5,4.4,-0.5,2.34826515940373
2017-01-31,NA,1.3,4.4,3,4.2,1.5,4.2,NA,NA,NA,2.9,NA,2.2,2.2,1.5,-3.2,0.7,2.8,4.4,2.8,2.43531327689648
2017-02-01,NA,1.1,2.1,3.8,4.2,1.4,4.2,NA,NA,NA,3.7,NA,3.8,3.3,1.4,-2.9,0.5,1.3,2.6,1.3,2.1405626966289
2017-02-02,NA,1.8,3.1,7.1,5.4,4.1,5.4,NA,NA,NA,7.8,NA,8.3,8,4.1,-1.1,0.4,2.9,5.8,2.9,4.17907188211902
2017-02-03,NA,1.9,3.4,8.3,7.1,3.8,7.1,NA,NA,NA,8.8,NA,8.7,8.5,3.8,2,1,2.8,NA,2.8,4.74496596810483
2017-02-04,NA,5,6.6,6.6,6.8,5.2,6.8,NA,NA,NA,6.3,NA,6.6,5.8,5.2,2.4,4.4,3.5,5.8,3.5,5.53533271447369
2017-02-05,NA,2.5,5.1,5.7,6,3,6,NA,NA,NA,5.7,NA,5.6,5.5,3,3.1,1.9,5.4,4.8,5.4,4.45623012046272
2017-02-06,NA,1.7,2.5,3.1,4.2,1.8,4.2,NA,NA,NA,3.3,NA,1.4,2.7,1.8,-0.5,0.9,3.1,3.8,3.1,2.44407943357011
2017-02-07,NA,-0.1,3.2,4.7,3.6,-0.2,3.6,NA,NA,NA,4.4,NA,2.1,2.9,-0.2,-1.9,-0.5,2,2.2,2,1.9013922782123
2017-02-08,NA,-2.5,1.2,4,2.1,-1.4,2.1,NA,NA,NA,3.1,NA,1.3,1.6,-1.4,-4.3,-2.8,1.3,0.5,1.3,0.332188627864768
2017-02-09,NA,-3.5,-1.3,2,0,-3,0,NA,NA,NA,0.6,NA,-0.5,-0.4,-3,-5.1,-3.7,-1.1,-0.4,-1.1,-1.42992573164323
2017-02-10,NA,-3.3,-1.3,0.9,0.6,-2.4,0.6,NA,NA,NA,-0.1,NA,-0.6,-0.8,-2.4,-2.3,-3.9,-0.5,0.3,-0.5,-1.21327937491941
2017-02-11,NA,-1.7,0.6,1.9,3.1,-1,3.1,NA,NA,NA,1,NA,1.3,0.4,-1,0.6,-2.2,1.2,1.3,1.2,0.477127422461139
2017-02-12,NA,-1.2,-0.8,4.7,2.9,-0.7,2.9,NA,NA,NA,3.3,NA,2.3,2.3,-0.7,-0.6,-1.4,0.3,2.1,0.3,0.851766453740126
2017-02-13,NA,-1.9,0.1,4.5,4.7,-0.5,4.7,NA,NA,NA,2.8,NA,3.5,2.6,-0.5,-1.8,-2.8,2.8,2.8,2.8,1.25370865160236
2017-02-14,NA,-1,0.9,6,4.1,0.5,4.1,NA,NA,NA,4.5,NA,2.9,4.8,0.5,2.5,-2.3,2.8,3.6,2.8,2.11725646960216
2017-02-15,NA,2,3.1,8.3,4.3,2.9,4.3,NA,NA,NA,8.9,NA,4.4,9.9,2.9,3.6,-0.5,2,5.3,2,4.10019783345974
2017-02-16,NA,4.8,6.1,8.3,6.3,5.1,6.3,NA,NA,NA,8.8,NA,6.4,9,5.1,4.6,3.6,4.6,6,4.6,5.98449357962006
2017-02-17,NA,5.3,4.2,6.9,7.2,5.8,7.2,NA,NA,NA,6.3,NA,6.7,5.9,5.8,5.1,5.4,5.4,5.9,5.4,5.77891924124295
2017-02-18,NA,3.9,3.3,6.9,7.1,4.2,7.1,NA,NA,NA,6,NA,5.4,5.9,4.2,3.3,4,4.3,4.1,4.3,4.83537454469447
2017-02-19,NA,4.8,2.7,5.4,4.6,4.7,4.6,NA,NA,NA,4.8,NA,4.5,4.6,4.7,3.9,3.9,3.2,5.8,3.2,4.34000497768362
2017-02-20,NA,7.7,6.5,9,8,8.4,8,NA,NA,NA,8.6,NA,8.5,7.8,8.4,6.6,7.5,6.3,6.8,6.3,7.64379494127304
2017-02-21,NA,6.6,8.4,10.6,10.5,7.5,10.5,NA,NA,NA,10.3,NA,9.6,9.5,7.5,7.6,6.7,8.7,NA,8.7,8.60457800558835
2017-02-22,NA,7.6,10.1,10.6,10.7,8.5,10.7,NA,NA,NA,10.1,NA,9.7,9.2,8.5,8.5,7.4,9.4,NA,9.4,9.2673306051941
2017-02-23,NA,5.9,13.3,9.6,9.8,6.7,9.8,NA,NA,NA,8.9,NA,8.5,8.2,6.7,8.1,6,10.6,5.5,10.6,8.6822396439223
2017-02-24,NA,3.3,5.2,5.3,6.2,3.2,6.2,NA,NA,NA,4.8,NA,4.2,4,3.2,3.3,3.3,4.4,4.7,4.4,4.39751211143911
2017-02-25,NA,3,3.9,5.1,5,3.1,5,NA,NA,NA,4.9,NA,4.2,4.5,3.1,3.7,2.4,1.9,5.1,1.9,3.80675252593179
2017-02-26,NA,7,6,9.9,8.9,7.6,8.9,NA,NA,NA,9.6,NA,9.2,8.5,7.6,8.5,6.5,5.8,6.4,5.8,7.68000368126741
2017-02-27,NA,10.4,7.7,10.8,11.5,10.3,11.5,NA,NA,NA,10.6,NA,10.6,9.6,10.3,10.2,10,7.6,6.6,7.6,9.74648303774582
2017-02-28,NA,6,4.4,6.4,6.3,5.4,6.3,NA,NA,NA,5.3,NA,5.6,4.7,5.4,7.1,6.8,5.5,NA,5.5,5.71522788979029
2017-03-01,NA,4.1,5.4,6.4,6.8,4.2,6.8,NA,NA,NA,6,NA,5.7,5.1,4.2,5.3,3.9,5.7,5.5,5.7,5.31032086821063
2017-03-02,NA,4.6,7.5,8,8.9,4.6,8.9,NA,NA,NA,7.2,NA,6.9,6.6,4.6,6.5,4.2,7,NA,7,6.54784655151082
2017-03-03,NA,6.3,7.2,7.8,8.1,6,8.1,NA,NA,NA,7.6,NA,7.4,7.4,6,7.2,5.8,5.3,5.7,5.3,6.82930038414129
2017-03-04,NA,8.5,12.6,11.3,10.1,9,10.1,NA,NA,NA,11.2,NA,11.3,10.9,9,10.6,8.1,9.6,6.7,9.6,10.0468196033382
2017-03-05,NA,7.5,7.2,7.9,7.5,8,7.5,NA,NA,NA,7.6,NA,7.9,6.8,8,9,7.4,8,6,8,7.58814933466811
2017-03-06,NA,4.4,5.8,6.2,6.3,6,6.3,NA,NA,NA,6.3,NA,5.5,5.2,6,4.7,4.9,5.5,5,5.5,5.51264707737872
2017-03-07,NA,2.2,3.9,6.1,6.8,3.4,6.8,NA,NA,NA,6,NA,5.9,5.3,3.4,2.8,2.2,4.6,3.4,4.6,4.31768018798728
2017-03-08,NA,4.5,5.6,5.7,5.5,4.8,5.5,NA,NA,NA,5.6,NA,5.5,5.2,4.8,5.1,3.8,5.4,5.2,5.4,5.16000042982783
2017-03-09,NA,6.1,8.7,8.9,10.2,7.1,10.2,NA,NA,NA,8,NA,8,7.5,7.1,6.8,6,8.9,6.4,8.9,7.8653778966583
2017-03-10,NA,6.7,5.7,7.4,8.4,6.8,8.4,NA,NA,NA,7.2,NA,7.2,6.9,6.8,5.4,6.7,5.6,6.1,5.6,6.72961829208604
