"date","load","unit","year","time_interval","country"
2017-01-01 00:00:00,73330,"MAW",2017,60,"FR"
2017-01-01 01:00:00,71806,"MAW",2017,60,"FR"
2017-01-01 02:00:00,68195,"MAW",2017,60,"FR"
2017-01-01 03:00:00,65672,"MAW",2017,60,"FR"
2017-01-01 04:00:00,64842,"MAW",2017,60,"FR"
2017-01-01 05:00:00,64454,"MAW",2017,60,"FR"
2017-01-01 06:00:00,64524,"MAW",2017,60,"FR"
2017-01-01 07:00:00,64855,"MAW",2017,60,"FR"
2017-01-01 08:00:00,66246,"MAW",2017,60,"FR"
2017-01-01 09:00:00,68222,"MAW",2017,60,"FR"
2017-01-01 10:00:00,69688,"MAW",2017,60,"FR"
2017-01-01 11:00:00,72008,"MAW",2017,60,"FR"
2017-01-01 12:00:00,71056,"MAW",2017,60,"FR"
2017-01-01 13:00:00,68243,"MAW",2017,60,"FR"
2017-01-01 14:00:00,66403,"MAW",2017,60,"FR"
2017-01-01 15:00:00,66053,"MAW",2017,60,"FR"
2017-01-01 16:00:00,69303,"MAW",2017,60,"FR"
2017-01-01 17:00:00,73364,"MAW",2017,60,"FR"
2017-01-01 18:00:00,74695,"MAW",2017,60,"FR"
2017-01-01 19:00:00,73274,"MAW",2017,60,"FR"
2017-01-01 20:00:00,70978,"MAW",2017,60,"FR"
2017-01-01 21:00:00,71702,"MAW",2017,60,"FR"
2017-01-01 22:00:00,72428,"MAW",2017,60,"FR"
2017-01-01 23:00:00,69366,"MAW",2017,60,"FR"
2017-01-02 00:00:00,66988,"MAW",2017,60,"FR"
2017-01-02 01:00:00,65675,"MAW",2017,60,"FR"
2017-01-02 02:00:00,63066,"MAW",2017,60,"FR"
2017-01-02 03:00:00,62297,"MAW",2017,60,"FR"
2017-01-02 04:00:00,64296,"MAW",2017,60,"FR"
2017-01-02 05:00:00,67976,"MAW",2017,60,"FR"
2017-01-02 06:00:00,71995,"MAW",2017,60,"FR"
2017-01-02 07:00:00,74893,"MAW",2017,60,"FR"
2017-01-02 08:00:00,76875,"MAW",2017,60,"FR"
2017-01-02 09:00:00,78624,"MAW",2017,60,"FR"
2017-01-02 10:00:00,79837,"MAW",2017,60,"FR"
2017-01-02 11:00:00,80947,"MAW",2017,60,"FR"
2017-01-02 12:00:00,79519,"MAW",2017,60,"FR"
2017-01-02 13:00:00,77813,"MAW",2017,60,"FR"
2017-01-02 14:00:00,75739,"MAW",2017,60,"FR"
2017-01-02 15:00:00,75511,"MAW",2017,60,"FR"
2017-01-02 16:00:00,78799,"MAW",2017,60,"FR"
2017-01-02 17:00:00,82562,"MAW",2017,60,"FR"
2017-01-02 18:00:00,82535,"MAW",2017,60,"FR"
2017-01-02 19:00:00,78425,"MAW",2017,60,"FR"
2017-01-02 20:00:00,74836,"MAW",2017,60,"FR"
2017-01-02 21:00:00,75000,"MAW",2017,60,"FR"
2017-01-02 22:00:00,75682,"MAW",2017,60,"FR"
2017-01-02 23:00:00,73185,"MAW",2017,60,"FR"
2017-01-03 00:00:00,70940,"MAW",2017,60,"FR"
2017-01-03 01:00:00,69855,"MAW",2017,60,"FR"
2017-01-03 02:00:00,67557,"MAW",2017,60,"FR"
2017-01-03 03:00:00,66819,"MAW",2017,60,"FR"
2017-01-03 04:00:00,69280,"MAW",2017,60,"FR"
2017-01-03 05:00:00,75148,"MAW",2017,60,"FR"
2017-01-03 06:00:00,81281,"MAW",2017,60,"FR"
2017-01-03 07:00:00,83749,"MAW",2017,60,"FR"
2017-01-03 08:00:00,84391,"MAW",2017,60,"FR"
2017-01-03 09:00:00,84577,"MAW",2017,60,"FR"
2017-01-03 10:00:00,84639,"MAW",2017,60,"FR"
2017-01-03 11:00:00,84268,"MAW",2017,60,"FR"
2017-01-03 12:00:00,82572,"MAW",2017,60,"FR"
2017-01-03 13:00:00,80548,"MAW",2017,60,"FR"
2017-01-03 14:00:00,78619,"MAW",2017,60,"FR"
2017-01-03 15:00:00,78594,"MAW",2017,60,"FR"
2017-01-03 16:00:00,82342,"MAW",2017,60,"FR"
2017-01-03 17:00:00,86820,"MAW",2017,60,"FR"
2017-01-03 18:00:00,86659,"MAW",2017,60,"FR"
2017-01-03 19:00:00,82357,"MAW",2017,60,"FR"
2017-01-03 20:00:00,78299,"MAW",2017,60,"FR"
2017-01-03 21:00:00,78174,"MAW",2017,60,"FR"
2017-01-03 22:00:00,78793,"MAW",2017,60,"FR"
2017-01-03 23:00:00,76157,"MAW",2017,60,"FR"
2017-01-04 00:00:00,74560,"MAW",2017,60,"FR"
2017-01-04 01:00:00,73166,"MAW",2017,60,"FR"
2017-01-04 02:00:00,70456,"MAW",2017,60,"FR"
2017-01-04 03:00:00,69522,"MAW",2017,60,"FR"
2017-01-04 04:00:00,71944,"MAW",2017,60,"FR"
2017-01-04 05:00:00,77391,"MAW",2017,60,"FR"
2017-01-04 06:00:00,83143,"MAW",2017,60,"FR"
